date,year,month,day,depth,observer,Dome,common_name,sizeclass,count,fish_spp,common_family,latin_family,foodweb,a,b,biomass,density,,,,,,,,,,,,,,,,
11-Apr-23,2023,April,11,60,ADC,5,blueheaded_wrasse,5,1,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,1.310187942,0.016666667,,,,,,,,,,,,,,,,
11-Apr-23,2023,April,11,22,JLR,1,blueheaded_wrasse,5.00,1,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,1.310187942,0.016666667,,,,,,,,,,,,,,,,
11-Apr-23,2023,April,20,,matt,5,blueheaded_wrasse,5,1,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,1.310187942,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,70,GGG,2,fairy_basslet,5,1,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,1.495759156,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,,LLG,5,fairy_basslet,5,1,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,1.495759156,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,,matt,1,fairy_basslet,5.00,1.00,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,1.495759156,0.016666667,,,,,,,,,,,,,,,,
08-Apr-23,2023,April,8,,matt,control,fairy_basslet,5,1,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,1.495759156,0.016666667,,,,,,,,,,,,,,,,
11-Apr-23,2023,April,11,,matt,control,fairy_basslet,5,1,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,1.495759156,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,60,ADC,1,yellowhead_wrasse,5,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,1.565906452,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,60,GGG,4,yellowhead_wrasse,5,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,1.565906452,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,60,GGG,5,yellowhead_wrasse,5,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,1.565906452,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,,matt,4,yellowhead_wrasse,5.00,1.00,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,1.565906452,0.016666667,,,,,,,,,,,,,,,,
11-Apr-23,2023,April,11,60,ADC,1,yellowhead_wrasse,5,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,1.565906452,0.016666667,,,,,,,,,,,,,,,,
11-Apr-23,2023,April,11,,LLG,4,yellowhead_wrasse,5,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,1.565906452,0.016666667,,,,,,,,,,,,,,,,
11-Apr-23,2023,April,11,,LLG,5,yellowhead_wrasse,5,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,1.565906452,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,20,JLR,1,greenblotch_parrotfish_initial,5.00,1,Sparisoma_atomarium,parrotfish,Scaridae,Herbivore,0.01122,3.09,1.621101361,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,23,JLR,5,greenblotch_parrotfish_initial,5.00,1,Sparisoma_atomarium,parrotfish,Scaridae,Herbivore,0.01122,3.09,1.621101361,0.016666667,,,,,,,,,,,,,,,,
08-Apr-23,2023,April,8,65,GGG,control,brown_chromis,5,1,Chromis_multilineata,chromis,Pomacentridae,Planktivore,0.01479,2.99,1.819233677,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,60,ADC,4,redband_parrotfish_initial,5,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,1.861835794,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,60,GGG,5,redband_parrotfish_initial,5,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,1.861835794,0.016666667,,,,,,,,,,,,,,,,
11-Apr-23,2023,April,11,60,ADC,1,redband_parrotfish_initial,5,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,1.861835794,0.016666667,,,,,,,,,,,,,,,,
11-Apr-23,2023,April,11,60,ADC,5,redband_parrotfish_initial,5,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,1.861835794,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,60,GGG,5,bicolor_damselfish,5,1,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,1.878745213,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,70,GGG,2,bicolor_damselfish,5,1,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,1.878745213,0.016666667,,,,,,,,,,,,,,,,
06-Apr-23,2023,April,6,,LLG,5,bicolor_damselfish,5,1,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,1.878745213,0.016666667,,,,,,,,,,,,,,,,
