date,year,month,day,depth,observer,Dome,common_name,sizeclass,count,fish_spp,common_family,latin_family,foodweb,a,b,biomass,density,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,blue_chromis,5,8,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,14.55386942,0.133333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,blue_chromis,10,10,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,144.533385,0.166666667,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,longfin_damselfish,10,2,Stegastes_diencaeus,damselfish,Pomacentridae,Omnivore,0.0195,2.99,38.11225162,0.033333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,longfin_damselfish,20,3,Stegastes_diencaeus,damselfish,Pomacentridae,Omnivore,0.0195,2.99,454.1878928,0.05,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,princess_parrotfish_initial,10,2,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,31.69554105,0.033333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,princess_parrotfish_initial,20,2,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,258.8922539,0.033333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,creole_wrasse,10,10,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,112.2027165,0.166666667,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,creole_wrasse,20,3,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,282.6745523,0.05,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,creole_wrasse,30,2,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,654.3281721,0.033333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,fairy_basslet,5,4,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,5.983036626,0.066666667,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,redband_parrotfish_initial,5,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,3.723671588,0.033333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,redband_parrotfish_initial,10,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,33.05337854,0.033333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,graysby,10,1,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,14.17074507,0.016666667,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,graysby,20,2,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,244.6954914,0.033333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,blueheaded_wrasse,5,1,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,1.310187942,0.016666667,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,blueheaded_wrasse,10,6,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,61.59478385,0.1,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,blueheaded_wrasse,20,2,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,160.8724841,0.033333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,harlequin_bass,10,1,Serranus_tigrinus,grouper,Serranidae,Invertivore,0.01023,3.04,11.21697195,0.016666667,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,yellowhead_wrasse,5,3,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,4.697719357,0.05,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,yellowhead_wrasse,10,2,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,27.60768529,0.033333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,yellowhead_wrasse,20,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,121.6841986,0.016666667,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,black_durgon,20,1,Melichthys_niger,triggerfish,Balistidae,Planktivore,0.0257,2.94,171.7755353,0.016666667,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,bar_jack,20,2,Caranx_ruber,jack,Carangidae,Invertivore,0.0158,2.99,245.3391011,0.033333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,yellowtail_snapper,30,2,Ocyurus_chrysurus,snapper,Lutjanidae,Macrocarnivore,0.0295,2.79,779.8665847,0.033333333,,,,,,,,,,,,,,,,
30-Jun-23,2023,June,30,65,GGG,1,yellowtail_snapper,40,1,Ocyurus_chrysurus,snapper,Lutjanidae,Macrocarnivore,0.0295,2.79,870.100447,0.016666667,,,,,,,,,,,,,,,,
